Country,City,Airport name,IATA
French Polynesia,Anaa,Anaa Airport,AAA
Australia,Tanbar,Arrabury Airport,AAB
Egypt,El Arish,El Arish International Airport,AAC
Somalia,Adado,Adado Airport,AAD
Algeria,Annaba,Annaba Rabah Bitat Airport,AAE
United States of America,Apalachicola,Apalachicola Regional Airport,AAF
Brazil,Arapoti,Avelino Vieira Airport,AAG
Germany,Aachen,Aachen-Merzbrück Airport,AAH
Brazil,Arraias,Arraias Airport,AAI
Suriname,Awaradam,Cayana Airstrip,AAJ
Kiribati,Buariki,Aranuka Airport,AAK
Denmark,Aalborg,Aalborg Airport,AAL
South Africa,Malamala,Malamala Airport,AAM
United Arab Emirates,Al Ain,Al Ain International Airport,AAN
Venezuela,Anaco,Anaco Airport,AAO
Indonesia,Samarinda,Aji Pangeran Tumenggung Pranoto International Airport,AAP
Russia,Krasnyi Kurgan,Anapa Vityazevo Airport,AAQ
Denmark,Aarhus,Aarhus Airport,AAR
Indonesia,Apalapsili,Apalapsili Airport,AAS
China,Altay,Altay Xuedu Airport,AAT
Samoa,Asau,Asau Airport,AAU
Philippines,Surallah,Allah Valley Airport,AAV
Brazil,Arax�,Romeu Zema Airport,AAX
Yemen,Al Ghaydah,Al Ghaydah International Airport,AAY
Guatemala,Quezaltenango,Quezaltenango Airport,AAZ
Russia,Abakan,Abakan International Airport,ABA
Nigeria,Asaba,Asaba International Airport,ABB
Spain,Albacete,Albacete Airport / Los Llanos Air Base,ABC
Iran,Abadan,Abadan Airport,ABD
United States of America,Allentown,Lehigh Valley International Airport,ABE
Kiribati,Abaiang,Abaiang Airport,ABF
Australia,Abingdon Downs,Abingdon Downs Airport,ABG
Australia,Alpha,Alpha Airport,ABH
United States of America,Abilene,Abilene Regional Airport,ABI
Ivory Coast,Abidjan,Félix-Houphouët-Boigny International Airport,ABJ
Ethiopia,Kebri Dahar,Kebri Dahar Airport,ABK
United States of America,Ambler,Ambler Airport,ABL
Australia,Bamaga,Northern Peninsula Airport,ABM
Suriname,Albina,Albina Airport,ABN
Ivory Coast,Aboisso,Aboisso Airport,ABO
Papua New Guinea,Atkamba Mission,Atkamba Airport,ABP
United States of America,Albuquerque,Albuquerque International Sunport,ABQ
United States of America,Aberdeen,Aberdeen Regional Airport,ABR
Egypt,Abu Simbel,Abu Simbel Airport,ABS
Saudi Arabia,Al-Baha,King Saud Bin Abdulaziz (Al Baha) Airport,ABT
Indonesia,Atambua,AA Bere Tallo (Haliwen) Airport,ABU
Nigeria,Abuja,Nnamdi Azikiwe International Airport,ABV
Australia,Albury,Albury Airport,ABX
United States of America,Albany,Southwest Georgia Regional Airport,ABY
United Kingdom,Aberdeen,Aberdeen Dyce Airport,ABZ
Mexico,Ciudad de Acapulco,Aeropuerto Internacional Juan N. Álvarez,ACA
United States of America,Bellaire,Antrim County Airport,ACB
Ghana,Accra,Kotoka International Airport,ACC
Colombia,Acand� ,Alcides Fern�ndez Airport,ACD
Spain,San Bartolomé,César Manrique-Lanzarote Airport,ACE
China,Aral,Aral Tarim Airport,ACF
Switzerland,St. Gallen,Sankt Gallen Altenrhein Airport,ACH
Guernsey,Saint Anne,Alderney Airport,ACI
Sri Lanka,Anuradhapura,Anuradhapura Airport,ACJ
United States of America,Nantucket,Nantucket Memorial Airport,ACK
Mexico,Ciudad Acuña,Ciudad Acuña New International Airport,ACN
Iran,Maragheh,Sahand Airport,ACP
Colombia,Araracuara,Araracuara Airport,ACR
Russia,Achinsk,Achinsk Airport,ACS
United States of America,Waco,Waco Regional Airport,ACT
Panama,Mamitupu,Achutupu Airport,ACU
United States of America,Arcata/Eureka,California Redwood Coast-Humboldt County Airport,ACV
China,Xingyi,Xingyi Wanfenglin Airport,ACX
United States of America,Atlantic City,Atlantic City International Airport,ACY
Iran,Zabol,Zabol Airport,ACZ
Turkey,Seyhan,Adana Şakirpaşa Airport,ADA
Turkey,Gaziemir,Adnan Menderes International Airport,ADB
Papua New Guinea,Andekombe,Andakombe Airport,ADC
Ethiopia,Addis Ababa,Addis Ababa Bole International Airport,ADD
Yemen,Aden,Aden International Airport,ADE
Turkey,Adıyaman,Adıyaman Airport,ADF
United States of America,Adrian,Lenawee County Airport,ADG
Russia,Aldan,Aldan Airport,ADH
Namibia,Arandis,Arandis Airport,ADI
Jordan,Amman,Amman Civil (Marka International) Airport,ADJ
United States of America,Adak,Adak Airport,ADK
Australia,Adelaide,Adelaide International Airport,ADL
United States of America,Ardmore,Ardmore Municipal Airport,ADM
Australia,Andamooka,Andamooka Airport,ADO
Sri Lanka,Ampara,Ampara Airport,ADP
United States of America,Kodiak,Kodiak Airport,ADQ
United States of America,Andrews,Robert F Swinnie Airport,ADR
United States of America,Dallas,Addison Airport,ADS
United States of America,Ada,Ada Regional Airport,ADT
Iran,Ardabil,Ardabil Airport,ADU
Sudan,El Daein,El Daein Airport,ADV
United States of America,Camp Springs,Joint Base Andrews,ADW
United Kingdom,"Leuchars, Fife",Leuchars Station Airfield,ADX
South Africa,Alldays,Alldays Airport,ADY
Colombia,San Andrés,Gustavo Rojas Pinilla International Airport,ADZ
