country,skyId,entityId,entityType
Puerto Rico,SJUA,27546347,CITY
Puerto Rico,SJU,95673803,AIRPORT
Puerto Rico,SIG,129055614,AIRPORT
Puerto Rico,BQN,128668345,AIRPORT
Puerto Rico,PSE,95673804,AIRPORT
Puerto Rico,VQS,128669120,AIRPORT
Puerto Rico,MAZ,128667941,AIRPORT
Palestinian Territories,ABV,128668198,AIRPORT
Palestinian Territories,DRW,95674234,AIRPORT
Palestinian Territories,CBR,95673866,AIRPORT
Palestinian Territories,YZF,128667599,AIRPORT
Palestinian Territories,ASP,104120402,AIRPORT
Palestinian Territories,AYQ,104120387,AIRPORT
Palestinian Territories,GOV,128668207,AIRPORT
Portugal,LIS,95565055,AIRPORT
Portugal,OPO,95566290,AIRPORT
Portugal,FAO,95673306,AIRPORT
Portugal,FNC,95674222,AIRPORT
Portugal,PDL,128667893,AIRPORT
Portugal,HOR,128667820,AIRPORT
Portugal,GRW,129055587,AIRPORT
Palau,ROR,104120409,AIRPORT
Palau,PLW,95673923,AIRPORT
Paraguay,ASU,95673453,AIRPORT
Paraguay,AGT,128668214,AIRPORT
Qatar,DOH,95673852,AIRPORT
Principat d'Andorra,PCP,129056056,AIRPORT
United Arab Emirates,DXBA,27540839,CITY
United Arab Emirates,DXB,95673506,AIRPORT
United Arab Emirates,DWC,128668423,AIRPORT
United Arab Emirates,SHJ,95673508,AIRPORT
United Arab Emirates,AUH,95673509,AIRPORT
United Arab Emirates,FJR,129051942,AIRPORT
United Arab Emirates,AAN,128667537,AIRPORT
Afghanistan,KBL,128668558,AIRPORT
Afghanistan,MZR,129052804,AIRPORT
Afghanistan,KDH,128667980,AIRPORT
Afghanistan,HEA,128668620,AIRPORT
Afghanistan,KHT,129055822,AIRPORT
Antigua and Barbuda,ANU,95674321,AIRPORT
Antigua and Barbuda,BBQ,222980953,AIRPORT
Albania,TIA,128669056,AIRPORT
Albania,ALB,95674229,AIRPORT
Albania,ALH,128668244,AIRPORT
Albania,ABY,95674281,AIRPORT
Albania,YFA,128667653,AIRPORT
Armenia,AXM,95673791,AIRPORT
Armenia,EVN,95673518,AIRPORT
Armenia,LWN,129053642,AIRPORT
Angola,LADA,27543961,CITY
Angola,LAD,128667237,AIRPORT
Angola,NBJ,222500045,AIRPORT
Angola,CBT,128668363,AIRPORT
Angola,SDD,128667189,AIRPORT
Angola,MSZ,128667871,AIRPORT
Angola,VHC,128668503,AIRPORT
Argentina,BUEA,27536465,CITY
Argentina,EZE,95673318,AIRPORT
